ROI_Label,Net_Label
LH_Vis_1,1
LH_Vis_2,1
LH_Vis_3,1
LH_Vis_4,1
LH_Vis_5,1
LH_Vis_6,1
LH_Vis_7,1
LH_Vis_8,1
LH_Vis_9,1
LH_Vis_10,1
LH_Vis_11,1
LH_Vis_12,1
LH_Vis_13,1
LH_Vis_14,1
LH_Vis_15,1
LH_Vis_16,1
LH_Vis_17,1
LH_Vis_18,1
LH_Vis_19,1
LH_Vis_20,1
LH_Vis_21,1
LH_Vis_22,1
LH_Vis_23,1
LH_Vis_24,1
LH_Vis_25,1
LH_Vis_26,1
LH_Vis_27,1
LH_Vis_28,1
LH_Vis_29,1
LH_Vis_30,1
LH_Vis_31,1
LH_SomMot_1,2
LH_SomMot_2,2
LH_SomMot_3,2
LH_SomMot_4,2
LH_SomMot_5,2
LH_SomMot_6,2
LH_SomMot_7,2
LH_SomMot_8,2
LH_SomMot_9,2
LH_SomMot_10,2
LH_SomMot_11,2
LH_SomMot_12,2
LH_SomMot_13,2
LH_SomMot_14,2
LH_SomMot_15,2
LH_SomMot_16,2
LH_SomMot_17,2
LH_SomMot_18,2
LH_SomMot_19,2
LH_SomMot_20,2
LH_SomMot_21,2
LH_SomMot_22,2
LH_SomMot_23,2
LH_SomMot_24,2
LH_SomMot_25,2
LH_SomMot_26,2
LH_SomMot_27,2
LH_SomMot_28,2
LH_SomMot_29,2
LH_SomMot_30,2
LH_SomMot_31,2
LH_SomMot_32,2
LH_SomMot_33,2
LH_SomMot_34,2
LH_SomMot_35,2
LH_SomMot_36,2
LH_SomMot_37,2
LH_DorsAttn_Post_1,3
LH_DorsAttn_Post_2,3
LH_DorsAttn_Post_3,3
LH_DorsAttn_Post_4,3
LH_DorsAttn_Post_5,3
LH_DorsAttn_Post_6,3
LH_DorsAttn_Post_7,3
LH_DorsAttn_Post_8,3
LH_DorsAttn_Post_9,3
LH_DorsAttn_Post_10,3
LH_DorsAttn_Post_11,3
LH_DorsAttn_Post_12,3
LH_DorsAttn_Post_13,3
LH_DorsAttn_Post_14,3
LH_DorsAttn_Post_15,3
LH_DorsAttn_Post_16,3
LH_DorsAttn_Post_17,3
LH_DorsAttn_FEF_1,3
LH_DorsAttn_FEF_2,3
LH_DorsAttn_FEF_3,3
LH_DorsAttn_FEF_4,3
LH_DorsAttn_PrCv_1,3
LH_DorsAttn_PrCv_2,3
LH_SalVentAttn_ParOper_1,4
LH_SalVentAttn_ParOper_2,4
LH_SalVentAttn_ParOper_3,4
LH_SalVentAttn_ParOper_4,4
LH_SalVentAttn_TempOcc_1,4
LH_SalVentAttn_FrOper_1,4
LH_SalVentAttn_FrOper_2,4
LH_SalVentAttn_FrOper_3,4
LH_SalVentAttn_FrOper_4,4
LH_SalVentAttn_FrOper_5,4
LH_SalVentAttn_FrOper_6,4
LH_SalVentAttn_FrOper_7,4
LH_SalVentAttn_FrOper_8,4
LH_SalVentAttn_FrOper_9,4
LH_SalVentAttn_PFCl_1,4
LH_SalVentAttn_Med_1,4
LH_SalVentAttn_Med_2,4
LH_SalVentAttn_Med_3,4
LH_SalVentAttn_Med_4,4
LH_SalVentAttn_Med_5,4
LH_SalVentAttn_Med_6,4
LH_SalVentAttn_Med_7,4
LH_Limbic_OFC_1,5
LH_Limbic_OFC_2,5
LH_Limbic_OFC_3,5
